ITTER107,Territorio,Sesso,Età,Value
IT,Italia,totale,0 anni,401521
IT,Italia,totale,1 anni,405952
IT,Italia,totale,2 anni,424329
IT,Italia,totale,3 anni,444659
IT,Italia,totale,4 anni,465225
IT,Italia,totale,5 anni,481416
IT,Italia,totale,6 anni,494031
IT,Italia,totale,7 anni,501730
IT,Italia,totale,8 anni,511170
IT,Italia,totale,9 anni,532809
IT,Italia,totale,10 anni,542130
IT,Italia,totale,11 anni,557902
IT,Italia,totale,12 anni,566992
IT,Italia,totale,13 anni,573915
IT,Italia,totale,14 anni,572886
IT,Italia,totale,15 anni,574330
IT,Italia,totale,16 anni,571619
IT,Italia,totale,17 anni,576670
IT,Italia,totale,18 anni,571994
IT,Italia,totale,19 anni,568972
IT,Italia,totale,20 anni,579506
IT,Italia,totale,21 anni,596183
IT,Italia,totale,22 anni,591550
IT,Italia,totale,23 anni,597391
IT,Italia,totale,24 anni,594879
IT,Italia,totale,25 anni,595962
IT,Italia,totale,26 anni,593370
IT,Italia,totale,27 anni,598228
IT,Italia,totale,28 anni,607830
IT,Italia,totale,29 anni,632769
IT,Italia,totale,30 anni,630485
IT,Italia,totale,31 anni,643006
IT,Italia,totale,32 anni,641303
IT,Italia,totale,33 anni,656831
IT,Italia,totale,34 anni,644843
IT,Italia,totale,35 anni,647948
IT,Italia,totale,36 anni,668296
IT,Italia,totale,37 anni,681703
IT,Italia,totale,38 anni,693807
IT,Italia,totale,39 anni,718152
IT,Italia,totale,40 anni,723004
IT,Italia,totale,41 anni,741098
IT,Italia,totale,42 anni,763764
IT,Italia,totale,43 anni,804373
IT,Italia,totale,44 anni,830060
IT,Italia,totale,45 anni,865557
IT,Italia,totale,47 anni,942069
IT,Italia,totale,48 anni,935918
IT,Italia,totale,46 anni,906421
IT,Italia,totale,49 anni,944367
IT,Italia,totale,50 anni,952885
IT,Italia,totale,51 anni,943178
IT,Italia,totale,52 anni,967389
IT,Italia,totale,53 anni,958762
IT,Italia,totale,54 anni,961711
IT,Italia,totale,55 anni,968964
IT,Italia,totale,56 anni,965593
IT,Italia,totale,57 anni,976450
IT,Italia,totale,58 anni,914742
IT,Italia,totale,59 anni,881407
IT,Italia,totale,60 anni,861681
IT,Italia,totale,61 anni,832588
IT,Italia,totale,62 anni,809525
IT,Italia,totale,63 anni,770912
IT,Italia,totale,64 anni,760051
IT,Italia,totale,65 anni,742342
IT,Italia,totale,66 anni,725615
IT,Italia,totale,67 anni,711545
IT,Italia,totale,68 anni,674591
IT,Italia,totale,69 anni,663914
IT,Italia,totale,70 anni,657363
IT,Italia,totale,71 anni,675494
IT,Italia,totale,72 anni,673094
IT,Italia,totale,73 anni,694668
IT,Italia,totale,74 anni,670159
IT,Italia,totale,75 anni,659993
IT,Italia,totale,76 anni,500508
IT,Italia,totale,77 anni,505779
IT,Italia,totale,78 anni,499047
IT,Italia,totale,79 anni,483830
IT,Italia,totale,80 anni,473463
IT,Italia,totale,81 anni,503103
IT,Italia,totale,82 anni,476683
IT,Italia,totale,83 anni,441626
IT,Italia,totale,84 anni,385807
IT,Italia,totale,85 anni,337883
IT,Italia,totale,86 anni,319391
IT,Italia,totale,87 anni,283214
IT,Italia,totale,88 anni,247370
IT,Italia,totale,89 anni,212316
IT,Italia,totale,90 anni,183480
IT,Italia,totale,91 anni,161735
IT,Italia,totale,92 anni,123632
IT,Italia,totale,93 anni,97936
IT,Italia,totale,94 anni,76515
IT,Italia,totale,95 anni,57139
IT,Italia,totale,96 anni,41709
IT,Italia,totale,97 anni,29970
IT,Italia,totale,98 anni,21142
IT,Italia,totale,99 anni,14144
IT,Italia,totale,100 anni e più,20159
IT,Italia,totale,totale,58983122
